region,x,y,z
Accumbens-L,-8,6,-16
Accumbens-L,-10,6,-16
Accumbens-L,-6,8,-16
Accumbens-L,-8,8,-16
Accumbens-L,-10,8,-16
Accumbens-L,-6,4,-14
Accumbens-L,-8,4,-14
Accumbens-L,-10,4,-14
Accumbens-L,-6,6,-14
Accumbens-L,-8,6,-14
Accumbens-L,-10,6,-14
Accumbens-L,-6,8,-14
Accumbens-L,-8,8,-14
Accumbens-L,-10,8,-14
Accumbens-L,-10,2,-12
Accumbens-L,-4,4,-12
Accumbens-L,-6,4,-12
Accumbens-L,-8,4,-12
Accumbens-L,-10,4,-12
Accumbens-L,-4,6,-12
Accumbens-L,-6,6,-12
Accumbens-L,-8,6,-12
Accumbens-L,-10,6,-12
Accumbens-L,-4,8,-12
Accumbens-L,-6,8,-12
Accumbens-L,-8,8,-12
Accumbens-L,-10,8,-12
Accumbens-L,-6,10,-12
Accumbens-L,-8,10,-12
Accumbens-L,-10,10,-12
Accumbens-L,-12,10,-12
Accumbens-L,-10,12,-12
Accumbens-L,-12,12,-12
Accumbens-L,-4,4,-10
Accumbens-L,-6,4,-10
Accumbens-L,-8,4,-10
Accumbens-L,-10,4,-10
Accumbens-L,-4,6,-10
Accumbens-L,-6,6,-10
Accumbens-L,-8,6,-10
Accumbens-L,-10,6,-10
Accumbens-L,-4,8,-10
Accumbens-L,-6,8,-10
Accumbens-L,-8,8,-10
Accumbens-L,-10,8,-10
Accumbens-L,-4,10,-10
Accumbens-L,-6,10,-10
Accumbens-L,-8,10,-10
Accumbens-L,-10,10,-10
Accumbens-L,-12,10,-10
Accumbens-L,-6,12,-10
Accumbens-L,-8,12,-10
Accumbens-L,-10,12,-10
Accumbens-L,-12,12,-10
Accumbens-L,-8,14,-10
Accumbens-L,-10,14,-10
Accumbens-L,-12,14,-10
Accumbens-L,-14,14,-10
Accumbens-L,-10,16,-10
Accumbens-L,-12,16,-10
Accumbens-L,-14,16,-10
Accumbens-L,-4,4,-8
Accumbens-L,-6,4,-8
Accumbens-L,-8,4,-8
Accumbens-L,-4,6,-8
Accumbens-L,-6,6,-8
Accumbens-L,-8,6,-8
Accumbens-L,-10,6,-8
Accumbens-L,-4,8,-8
Accumbens-L,-6,8,-8
Accumbens-L,-8,8,-8
Accumbens-L,-10,8,-8
Accumbens-L,-4,10,-8
Accumbens-L,-6,10,-8
Accumbens-L,-8,10,-8
Accumbens-L,-10,10,-8
Accumbens-L,-6,12,-8
